datum,kapela_nazov,kapela_mesto,kapela_styl,kapela_bio,plagat,miesto,vstupne,cas,plagat_ikona,fb_event,kapela_spotify,kapela_facebook
30.4.2022,Saténové Ruky,Bratislava,Alternative-Rock,"Bratislavská partia okolo Kaska, Bebeho, Vlada Jančeka a Joža Lipu, na scéne od roku 2011. Svoj štýl si sami nazvali ""primitive rock"" a ""post-šansón"" – na konte majú albumy Bozkávam, Tretí album aj LOM.",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-30-04.png,Furmanka,Dobrovoľné,20:00,,,https://open.spotify.com/artist/5s828G5M7M0C3L5J5K5G5L,https://www.facebook.com/satenoveruky
30.4.2022,Kuca-Paca,Námestovo,Pivo-Punk,"Námestovská pivná punk-rocková stálica, ktorá o sebe hovorí jednoducho: ""Punk a Pivo od roku 2010.""",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-30-04.png,Furmanka,Dobrovoľné,20:00,,,https://open.spotify.com/artist/4iERzA8SsDxpy2QhO3V1Xv?si=HDJWhwYIRZeSQy0Ra_bECg,https://www.facebook.com/kucapaca
30.4.2022,Trstenica,Trstená,Hard Rock,"Hardrocková kapela z Trstenej, poctivé gitarové riffy priamo z Oravy.",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-30-04.png,Furmanka,Dobrovoľné,20:00,,,,
2.9.2022,Brmbolce,Martin,Punk,"Martinská punk-rocková kapela s dlhou históriou striedania hudobníkov, ktorá si za tie roky prešla naozaj hodne zostavami, no melodický punk-rock s humorným rukopisom jej ostal verný.",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-02-09.png,Furmanka,Dobrovoľné,20:00,,https://www.facebook.com/events/1375042273251267/,https://open.spotify.com/artist/6lzFGxDLVDzajKQIatoDUy?si=5Ic8wJN5QOCNUaY4jwRxVw,https://www.facebook.com/brmbolce
2.9.2022,ZPunkRuky,Žilina,Punk,"Žilinská punková zostava, ktorá sa dala dokopy na jeden poriadny punkový večer vo Furmanke.",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-02-09.png,Furmanka,Dobrovoľné,20:00,,https://www.facebook.com/events/1375042273251267/,,https://www.facebook.com/zpunkruky
2.9.2022,DPH-DK,Dolný Kubín,Punk,"Dolnokubínska punková legenda, na ktorú dodnes s úctou spomínajú aj mladšie kapely z bratislavskej Oi! scény.",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-02-09.png,Furmanka,Dobrovoľné,20:00,,https://www.facebook.com/events/1375042273251267/,,https://www.facebook.com/profile.php?id=100027156592950
24.9.2022,Robo Hulej,Štefanov nad Oravou,Folk,,https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-24-09.png,Furmanka,Dobrovoľné,20:00,,https://www.facebook.com/events/460375899304405/,,
24.9.2022,Záviš,Znojmo (CZ),Pornofolk,Pornofolková legenda zo Znojma. Nevhodné pre deti a citlivé povahy – to hovoria o sebe sami.,https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-24-09.png,Furmanka,Dobrovoľné,20:00,,https://www.facebook.com/events/460375899304405/,https://open.spotify.com/artist/2X8X5X5X5X5X5X5X5X5X5X;https://www.facebook.com/zavis,https://www.facebook.com/ZavisOFFICIAL
26.11.2022,Rozpor,Bratislava,Oi! Punk,"Bratislavská Oi!/hardcore-punková kapela založená v máji 1999, dodnes verná zásade ""urob si sám"" pod vlastnou značkou Žiadna značka – No Label. Za sebou má albumy Ilegálna spravodlivosť aj Hrubá Sila a dlhoročný jasný antifašistický postoj.",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-26-11.png,Furmanka,Dobrovoľné,20:00,,https://www.facebook.com/events/663674681812850/,https://open.spotify.com/artist/123456789;https://www.facebook.com/rozpor,https://www.facebook.com/Rozpor
26.11.2022,Nazi Tampons,Košice,Garage Punk,"Košický garage punk, ktorý o sebe sám hovorí ako o partii ""ugly perverse boys"". Ich debut Rande s vrahom zamával česko-slovenskou punkovou scénou svojím špinavým garážovým zvukom.",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-26-11.png,Furmanka,Dobrovoľné,20:00,,https://www.facebook.com/events/663674681812850/,https://open.spotify.com/artist/987654321,https://www.facebook.com/NaziTampons
26.11.2022,Kuca-Paca,Námestovo,Punk,"Námestovská pivná punk-rocková stálica, ktorá o sebe hovorí jednoducho: ""Punk a Pivo od roku 2010.""",https://cdn.jsdelivr.net/gh/koncerty-furmanka/koncerty@main/plagaty/2022-26-11.png,Furmanka,Dobrovoľné,20:00,,https://www.facebook.com/events/663674681812850/,https://open.spotify.com/artist/4iERzA8SsDxpy2QhO3V1Xv?si=HDJWhwYIRZeSQy0Ra_bECg,https://www.facebook.com/kucapaca
